"Mod name","Registry name","Entity class name","ID"
"Abyssal Depths","abyssaldepths:bannerfish","Banner",7
"Abyssal Depths","abyssaldepths:blackcap_basslet","BlackCap",9
"Abyssal Depths","abyssaldepths:butterflyfish","Butterflyfish",3
"Abyssal Depths","abyssaldepths:clownfish","Clownfish",1
"Abyssal Depths","abyssaldepths:fairy_basslet","Fairy",8
"Abyssal Depths","abyssaldepths:fish","CommonFish",0
"Abyssal Depths","abyssaldepths:masked_butterflyfish","Masked",4
"Abyssal Depths","abyssaldepths:raccoon_butterflyfish","Raccoon",5
"Abyssal Depths","abyssaldepths:sailfish","Sailfish",10
"Abyssal Depths","abyssaldepths:sea_serpent","SeaSerpent",12
"Abyssal Depths","abyssaldepths:seahorse","Seahorse",2
"Abyssal Depths","abyssaldepths:spotfin_butterflyfish","Spotfin",6
"Abyssal Depths","abyssaldepths:swordfish","Swordfish",11
"Aether II","aether:aechor_plant","EntityAechorPlant",0
"Aether II","aether:aerbunny","EntityAerbunny",1
"Aether II","aether:aerwhale","EntityAerwhale",5
"Aether II","aether:bolt","EntityBolt",34
"Aether II","aether:burrukai","EntityBurrukai",12
"Aether II","aether:carrion_sprout","EntityCarrionSprout",2
"Aether II","aether:cockatrice","EntityCockatrice",3
"Aether II","aether:daggerfrost_snowball","EntityDaggerfrostSnowball",33
"Aether II","aether:dart","EntityDart",32
"Aether II","aether:edison","EntityEdison",11
"Aether II","aether:ethereal_wisp","EntityEtherealWisp",24
"Aether II","aether:fangrin","EntityFangrin",27
"Aether II","aether:fleeting_wisp","EntityFleetingWisp",25
"Aether II","aether:floating_block","EntityFloatingBlock",30
"Aether II","aether:frostpine_totem","EntityFrostpineTotem",21
"Aether II","aether:glactrix","EntityGlactrix",16
"Aether II","aether:glitterwing","EntityGlitterwing",10
"Aether II","aether:josediya","EntityJosediya",14
"Aether II","aether:kirrid","EntityKirrid",4
"Aether II","aether:kraisith","EntityKraisith",22
"Aether II","aether:moa","EntityMoa",37
"Aether II","aether:moving_block","EntityMovingBlock",31
"Aether II","aether:mysterious_figure","EntityMysteriousFigure",17
"Aether II","aether:necromancer","EntityNecromancer",13
"Aether II","aether:nex_spirit","EntityNexSpirit",28
"Aether II","aether:parachute","EntityParachute",35
"Aether II","aether:pink_baby_swet","EntityPinkBabySwet",29
"Aether II","aether:shade_of_arkenzus","EntityShadeOfArkenzus",23
"Aether II","aether:sheepuff","EntitySheepuff",20
"Aether II","aether:skyroot_lizard","EntitySkyrootLizard",19
"Aether II","aether:soaring_wisp","EntitySoaringWisp",26
"Aether II","aether:swet","EntitySwet",8
"Aether II","aether:taegore","EntityTaegore",9
"Aether II","aether:tempest","EntityTempest",7
"Aether II","aether:tivalier","EntityTivalier",15
"Aether II","aether:tnt_present","EntityTNTPresent",36
"Aether II","aether:varanys","EntityVaranys",18
"Aether II","aether:zephyr","EntityZephyr",6
"AetherWorks","aetherworks:entity_arrow","AWArrow",0
"AetherWorks","aetherworks:entity_magma","AWMagma",1
"Ancient Beasts","ancientbeasts:ball","EntityBall",6
"Ancient Beasts","ancientbeasts:beam","EntityBeam",16
"Ancient Beasts","ancientbeasts:boulder","EntityBoulder",13
"Ancient Beasts","ancientbeasts:boulderer","EntityBoulderer",21
"Ancient Beasts","ancientbeasts:damcell","EntityDamcell",18
"Ancient Beasts","ancientbeasts:damcell_spike","EntityDamcellSpike",19
"Ancient Beasts","ancientbeasts:fake_vessel","EntityFakeDuplicate",8
"Ancient Beasts","ancientbeasts:frost_walker","EntityFrostWalker",10
"Ancient Beasts","ancientbeasts:frostash_fox","EntityFrostashFox",9
"Ancient Beasts","ancientbeasts:ghost","EntityGhost",2
"Ancient Beasts","ancientbeasts:giant_zombie","EntityGiant",12
