+-------------------------------------+-------------------------------------------------------+--------------------------------------------------------------------------------------------------+------+
| Mod name                            | Registry name                                         | Entity class name                                                                                |   ID |
+-------------------------------------+-------------------------------------------------------+--------------------------------------------------------------------------------------------------+------+
| Abyssal Depths                      | abyssaldepths:bannerfish                              | chumbanotz.abyssaldepths.entity.fish.Butterflyfish$Banner                                        |    7 |
| Abyssal Depths                      | abyssaldepths:blackcap_basslet                        | chumbanotz.abyssaldepths.entity.fish.Basslet$BlackCap                                            |    9 |
| Abyssal Depths                      | abyssaldepths:butterflyfish                           | chumbanotz.abyssaldepths.entity.fish.Butterflyfish                                               |    3 |
| Abyssal Depths                      | abyssaldepths:clownfish                               | chumbanotz.abyssaldepths.entity.fish.Clownfish                                                   |    1 |
| Abyssal Depths                      | abyssaldepths:fairy_basslet                           | chumbanotz.abyssaldepths.entity.fish.Basslet$Fairy                                               |    8 |
| Abyssal Depths                      | abyssaldepths:fish                                    | chumbanotz.abyssaldepths.entity.fish.CommonFish                                                  |    0 |
| Abyssal Depths                      | abyssaldepths:masked_butterflyfish                    | chumbanotz.abyssaldepths.entity.fish.Butterflyfish$Masked                                        |    4 |
| Abyssal Depths                      | abyssaldepths:raccoon_butterflyfish                   | chumbanotz.abyssaldepths.entity.fish.Butterflyfish$Raccoon                                       |    5 |
| Abyssal Depths                      | abyssaldepths:sailfish                                | chumbanotz.abyssaldepths.entity.billfish.Sailfish                                                |   10 |
| Abyssal Depths                      | abyssaldepths:sea_serpent                             | chumbanotz.abyssaldepths.entity.SeaSerpent                                                       |   12 |
| Abyssal Depths                      | abyssaldepths:seahorse                                | chumbanotz.abyssaldepths.entity.Seahorse                                                         |    2 |
| Abyssal Depths                      | abyssaldepths:spotfin_butterflyfish                   | chumbanotz.abyssaldepths.entity.fish.Butterflyfish$Spotfin                                       |    6 |
| Abyssal Depths                      | abyssaldepths:swordfish                               | chumbanotz.abyssaldepths.entity.billfish.Swordfish                                               |   11 |
| Aether II                           | aether:aechor_plant                                   | com.gildedgames.aether.common.entities.monsters.EntityAechorPlant                                |    0 |
| Aether II                           | aether:aerbunny                                       | com.gildedgames.aether.common.entities.animals.EntityAerbunny                                    |    1 |
